epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8557,1.26735,5.09334,2.69857,1.55138,0.00344,1,0.73723,0.42901,0.00333,0.96774,0.73238,0.46438,0.375,0.21397,2.83442,0.71898,0.00022,0.00022,0.00022
2,42.3827,0.45441,1.35062,1.83561,0.98858,0.00344,1,0.96933,0.92374,0.00333,0.96774,0.96506,0.96506,0.266,0.60277,2.70057,0.70675,0.000457723,0.000457723,0.000457723
3,55.7345,0.42368,0.98073,1.02192,0.94675,0.99241,0.96774,0.96779,0.78364,0.99241,0.96774,0.96506,0.81108,0.41377,3.55479,2.40644,0.80715,0.00069307,0.00069307,0.00069307
4,72.0949,0.41454,0.92687,0.71402,0.93656,0.98789,0.96774,0.96522,0.77442,0.98789,0.96774,0.96506,0.75579,0.43255,3.63938,2.27067,0.85646,0.000926041,0.000926041,0.000926041
5,89.8149,0.42292,1.00031,0.66038,0.94685,0.98548,0.96774,0.96519,0.87397,0.98548,0.96774,0.96506,0.55138,0.36325,15.7679,1.79763,0.87277,0.00115664,0.00115664,0.00115664
6,190.984,0.44713,0.9031,0.62153,0.94845,0.61955,0.93548,0.7239,0.44786,0.61955,0.93548,0.72204,0.4662,0.5639,5.04471,2.44415,0.95762,0.00138485,0.00138485,0.00138485
