epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7351,0.86171,3.22588,2.22635,1.28178,0.00344,1,0.96852,0.88108,0.00333,0.96774,0.96506,0.91641,0.26524,0.63182,2.7273,0.72061,0.00048,0.00048,0.00048
2,36.3428,0.46265,1.10343,0.90957,0.98122,0.9979,0.96774,0.99157,0.93495,0.9979,0.96774,0.96506,0.68531,0.29712,7.42922,1.32159,0.78169,0.000970298,0.000970298,0.000970298
3,46.2025,0.46355,1.06249,0.66177,0.96859,0.50292,0.32653,0.4312,0.2301,0.27023,0.19355,0.09476,0.01985,0.9065,12.3459,3.13707,1.509,0.0014507,0.0014507,0.0014507
4,56.1417,0.51098,1.07271,0.60381,0.9867,0.22323,0.51613,0.20862,0.09,0.09284,0.54839,0.0611,0.02151,1.23798,41.9618,2.69888,3.55797,0.00192119,0.00192119,0.00192119
5,65.9519,0.50197,1.06075,0.5546,0.98671,0.99266,0.96774,0.96532,0.55107,0.99266,0.96774,0.96506,0.56718,1.44036,4.15807,1.78496,2.01319,0.0019208,0.0019208,0.0019208
6,75.7905,0.48783,0.98782,0.4867,0.97902,0.93846,0.96774,0.95071,0.53421,0.93846,0.96774,0.95055,0.54494,1.2601,5.90497,1.65415,3.65489,0.001901,0.001901,0.001901
7,85.7564,0.45499,0.87678,0.43106,0.95709,0.7651,0.90323,0.88199,0.82991,0.7651,0.90323,0.88199,0.79906,0.35213,1.10352,1.17409,0.79299,0.0018812,0.0018812,0.0018812
8,95.4544,0.43941,0.90278,0.40533,0.95545,0.96769,0.96774,0.96613,0.94053,0.96769,0.96774,0.96521,0.95392,0.26279,2.07396,0.89567,0.66182,0.0018614,0.0018614,0.0018614
9,105.286,0.43329,0.78177,0.37642,0.946,0.99567,0.96774,0.96603,0.86944,0.99567,0.96774,0.96515,0.90551,0.40303,0.14822,0.70292,0.89325,0.0018416,0.0018416,0.0018416
10,115.181,0.40466,0.79801,0.36254,0.93764,0.99364,0.96774,0.96527,0.92548,0.99364,0.96774,0.96527,0.95049,0.29473,2.89637,0.48489,0.74722,0.0018218,0.0018218,0.0018218
11,125.048,0.40658,0.68637,0.35791,0.93609,0.9945,0.96774,0.96925,0.92914,0.9945,0.96774,0.96556,0.73278,0.36822,1.45928,0.45056,0.77121,0.001802,0.001802,0.001802
12,135.068,0.40708,0.7017,0.34905,0.93899,0.99563,0.96774,0.97386,0.96528,0.99563,0.96774,0.96581,0.96581,0.22371,0.66902,0.25211,0.64285,0.0017822,0.0017822,0.0017822
13,144.837,0.38591,0.69451,0.33333,0.93084,0.9657,0.96774,0.96017,0.82842,0.9657,0.96774,0.95914,0.95914,0.60809,0.12314,0.88676,1.26143,0.0017624,0.0017624,0.0017624
14,155.137,0.38113,0.7499,0.33756,0.93055,0.9924,0.96774,0.96725,0.96301,0.9924,0.96774,0.96597,0.96597,0.21873,1.25224,0.33167,0.6305,0.0017426,0.0017426,0.0017426
15,165.624,0.35574,0.64344,0.30656,0.91188,0.99737,0.96774,0.96623,0.94523,0.99737,0.96774,0.96623,0.96623,0.2563,1.71759,0.25877,0.68971,0.0017228,0.0017228,0.0017228
16,178.983,0.37713,0.72478,0.31666,0.92925,0.9902,0.96774,0.96693,0.96641,0.9902,0.96774,0.96607,0.96607,0.20733,0.12602,0.33392,0.63635,0.001703,0.001703,0.001703
