epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,439.69,0.32279,0.52637,0.25956,0.90252,0.99805,0.96774,0.96961,0.96961,0.99805,0.96774,0.96961,0.96961,0.12011,0.21881,0.13029,0.56511,0.0014258,0.0014258,0.0014258
31,454.401,0.31416,0.55072,0.2522,0.89591,0.99826,0.96774,0.97107,0.96815,0.99826,0.96774,0.97107,0.97107,0.16869,0.65789,0.17144,0.61629,0.001406,0.001406,0.001406
32,468.794,0.31535,0.58584,0.24894,0.90187,0.99735,0.96774,0.96826,0.96506,0.99735,0.96774,0.96826,0.96826,0.16883,0.61162,0.25527,0.61053,0.0013862,0.0013862,0.0013862
33,482.967,0.31356,0.50307,0.2515,0.90281,0.99817,0.96774,0.96847,0.96847,0.99817,0.96774,0.96847,0.96847,0.12649,0.0798,0.13223,0.57245,0.0013664,0.0013664,0.0013664
34,497.393,0.31811,0.48773,0.25264,0.90116,0.99828,0.96774,0.97861,0.97861,0.99828,0.96774,0.97861,0.97861,0.12509,1.11507,0.12093,0.58333,0.0013466,0.0013466,0.0013466
35,512.717,0.29554,0.51553,0.24083,0.89469,0.99806,0.96774,0.97042,0.97042,0.99806,0.96774,0.97042,0.97042,0.11543,0.14827,0.11385,0.56226,0.0013268,0.0013268,0.0013268
36,526.209,0.29621,0.47726,0.23741,0.89548,0.99804,0.96774,0.97149,0.97149,0.99804,0.96774,0.97149,0.97149,0.15448,0.08451,0.15683,0.58649,0.001307,0.001307,0.001307
37,541.02,0.29857,0.51867,0.23984,0.8965,0.99802,0.96774,0.97047,0.97047,0.99802,0.96774,0.97047,0.97047,0.11808,0.62848,0.12448,0.56788,0.0012872,0.0012872,0.0012872
38,554.794,0.29812,0.53394,0.24264,0.89518,0.99828,0.96774,0.97254,0.97254,0.99828,0.96774,0.97254,0.97254,0.14321,0.09937,0.14525,0.58153,0.0012674,0.0012674,0.0012674
39,574.93,0.30592,0.5294,0.2416,0.89598,0.99828,0.96774,0.9805,0.9805,0.99828,0.96774,0.9805,0.9805,0.1473,0.13012,0.13869,0.57932,0.0012476,0.0012476,0.0012476
40,596.183,0.29584,0.47606,0.23642,0.89133,0.99824,0.96774,0.96929,0.96929,0.99824,0.96774,0.96929,0.96929,0.14061,0.3018,0.13782,0.57251,0.0012278,0.0012278,0.0012278
41,615.396,0.30105,0.48655,0.23957,0.89367,0.99828,0.96774,0.97042,0.97042,0.99828,0.96774,0.97042,0.97042,0.14131,0.6072,0.14604,0.5839,0.001208,0.001208,0.001208
