epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8181,0.91266,3.58442,2.34503,1.31952,0.00344,1,0.97931,0.95436,0.00333,0.96774,0.96506,0.96057,0.21105,0.34134,2.6302,0.65149,0.00042,0.00042,0.00042
2,60.5721,0.45678,1.12723,0.98892,0.9728,0.99952,0.96774,0.97545,0.90804,0.99952,0.96774,0.96506,0.90585,0.33888,1.6342,2.11965,0.77976,0.000855743,0.000855743,0.000855743
3,78.2184,0.44108,0.94859,0.68743,0.9549,0.65574,0.77419,0.71648,0.54296,0.65574,0.77419,0.71605,0.61929,0.54384,2.10863,2.40312,1.13429,0.00128713,0.00128713,0.00128713
4,94.8378,0.47173,0.96985,0.59872,0.9712,0.30455,0.35484,0.22551,0.09741,0.31229,0.35484,0.16059,0.06007,1.55763,9.66136,2.47782,1.91044,0.00171416,0.00171416,0.00171416
5,108.263,0.4976,0.99464,0.56322,0.97789,0.31974,0.48387,0.3184,0.24592,0.31974,0.48387,0.30878,0.17885,0.62565,2.50961,2.25287,1.0863,0.0019604,0.0019604,0.0019604
6,120.823,0.47413,1.03474,0.51058,0.97784,0.04641,0.41935,0.0542,0.02545,0.04086,0.3871,0.04093,0.01694,1.31395,2.67887,5.11604,2.1014,0.0019505,0.0019505,0.0019505
7,134.512,0.47057,0.92657,0.46161,0.97135,0.05615,0.96774,0.05796,0.04825,0.04867,0.83871,0.0466,0.01521,0.52362,4.5737,16.5687,1.03292,0.0019406,0.0019406,0.0019406
8,147.298,0.44415,0.78285,0.41118,0.94892,0.75304,0.83871,0.90155,0.8472,0.80885,0.80645,0.8399,0.46881,0.34402,3.31645,2.47129,0.75362,0.0019307,0.0019307,0.0019307
9,160.005,0.4349,0.80899,0.40321,0.95569,0.65928,0.96774,0.87529,0.53079,0.34865,0.51613,0.30597,0.07252,0.67983,5.54486,2.58238,1.09054,0.0019208,0.0019208,0.0019208
10,172.554,0.41146,0.73524,0.37459,0.94938,0.99644,0.96774,0.98191,0.92467,0.99644,0.96774,0.96518,0.68202,0.38693,3.46522,0.39959,0.78249,0.0019109,0.0019109,0.0019109
11,185.146,0.41044,0.75314,0.36455,0.93488,0.99088,0.96774,0.96594,0.94319,0.99088,0.96774,0.96526,0.96526,0.29261,0.1594,0.63946,0.69659,0.001901,0.001901,0.001901
12,197.564,0.39431,0.69895,0.34205,0.93296,0.89538,0.96774,0.9746,0.94138,0.89538,0.96774,0.96015,0.87381,0.24898,1.53125,0.48934,0.66426,0.0018911,0.0018911,0.0018911
13,210.54,0.40824,0.81712,0.3668,0.9435,0.99769,0.96774,0.96894,0.91737,0.99769,0.96774,0.96522,0.96522,0.26218,0.38546,0.28305,0.718,0.0018812,0.0018812,0.0018812
14,223.192,0.37291,0.74781,0.32246,0.92831,0.98098,0.96774,0.96577,0.94481,0.09942,0.09677,0.03749,0.00542,0.27294,23.2376,0.51271,0.71137,0.0018713,0.0018713,0.0018713
15,236.027,0.39758,0.77115,0.3349,0.93433,0.99665,0.96774,0.96626,0.92456,0.99665,0.96774,0.9655,0.6356,0.29249,2.86688,0.34097,0.75204,0.0018614,0.0018614,0.0018614
16,249.014,0.38166,0.73049,0.32614,0.93283,1,0.96756,0.96727,0.93622,1,0.96756,0.96595,0.86305,0.25157,1.3365,0.30441,0.67998,0.0018515,0.0018515,0.0018515
17,262.217,0.36287,0.6146,0.30918,0.9225,0.99715,0.96774,0.97124,0.96658,0.99715,0.96774,0.96606,0.96606,0.18919,0.11979,0.19022,0.61346,0.0018416,0.0018416,0.0018416
18,275.125,0.35356,0.62516,0.30062,0.9148,0.95633,0.96774,0.96588,0.88109,0.95633,0.96774,0.96588,0.89387,0.3178,1.25275,0.60871,0.732,0.0018317,0.0018317,0.0018317
19,288.323,0.37739,0.70953,0.30871,0.92216,0.99077,0.96774,0.96597,0.96101,0.99077,0.96774,0.96597,0.96241,0.20627,0.1958,0.43969,0.62349,0.0018218,0.0018218,0.0018218
